experiment_name,policy,lr,gamma,batch_size,epsilon_start,epsilon_end,epsilon_fraction
exp1_baseline,CnnPolicy,0.0001,0.99,32,1.0,0.01,0.1
exp2_high_lr,CnnPolicy,0.001,0.99,32,1.0,0.01,0.1
exp3_low_lr,CnnPolicy,0.00001,0.99,32,1.0,0.01,0.1
exp4_low_gamma,CnnPolicy,0.0001,0.90,32,1.0,0.01,0.1
exp5_high_gamma,CnnPolicy,0.0001,0.999,32,1.0,0.01,0.1
exp6_large_batch,CnnPolicy,0.0001,0.99,64,1.0,0.01,0.1
exp7_small_batch,CnnPolicy,0.0001,0.99,16,1.0,0.01,0.1
exp8_slow_decay,CnnPolicy,0.0001,0.99,32,1.0,0.01,0.3
exp9_mlp_baseline,MlpPolicy,0.0001,0.99,32,1.0,0.01,0.1
exp10_mlp_tuned,MlpPolicy,0.0005,0.95,64,1.0,0.05,0.2
